Address,Latitude,Longitude,Neighborhood
"608 Wood Street Pittsburgh, PA ",40.437451,-80.002604,Downtown
"3607 Forbes Ave Pittsburgh, PA ",40.439537,-79.899134,Regent Square
"3708 Forbes Ave Pittsburgh, PA ",40.441236,-79.957263,Central Oakland
"22-24 Sampsonia  Way Pittsburgh, PA ",40.456309,-80.015012,Central Northside
"3360 Library  Road Pittsburgh, PA ",40.3787,-80.002225,Overbrook
"120 Shiloh Street Pittsburgh, PA ",40.42884,-80.007271,Mount Washington
"5 19th (River Rd) Street Pittsburgh, PA ",39.78373,-100.445882,
"1323 Carson  Street Pittsburgh, PA ",39.78373,-100.445882,
"250 Mt Lebanon  Boulevard Pittsburgh, PA ",39.78373,-100.445882,
"862 Western Avenue Pittsburgh, PA ",40.450645,-80.023662,Chateau
"1601 Braddock Avenue Pittsburgh, PA ",40.427226,-79.890789,Swisshelm Park
"4915 Baum  Boulevard Pittsburgh, PA ",40.454057,-79.949853,North Oakland
"531 Grant Street Pittsburgh, PA ",40.436216,-79.99905,Downtown
"133 6th Street Pittsburgh, PA ",40.442802,-80.002193,Downtown
"8500 Frankstown  Avenue Pittsburgh, PA ",40.456927,-79.87791,East Hills
"400 Guys Run Road Pittsburgh, PA ",39.78373,-100.445882,
"2001 E Carson St Pittsburgh, PA ",40.428768,-79.977456,South Side Flats
"5541 Walnut  Street Pittsburgh, PA ",40.451728,-79.932356,Shadyside
"3535 Butler  Street Pittsburgh, PA ",40.48751,-79.918531,Morningside
"27 Tecumseh St Pittsburgh, PA ",40.408252,-79.945229,Hazelwood
"2 Market  Square Pittsburgh, PA ",40.440733,-80.002558,Downtown
"210 Oakland Ave Pittsburgh, PA ",40.441228,-79.956713,Central Oakland
"3524 5th  Avenue Pittsburgh, PA ",40.454898,-79.911439,Larimer
"6408 Brownsville Rd Pittsburgh, PA ",40.386932,-79.982947,Carrick
"1928 Monongahela Avenue Pittsburgh, PA ",40.427209,-79.890949,Swisshelm Park
